InductedToHallOfFame,OnHallOfFameBallot,FullPlayerName,YearsPlayed,AB,R,H,Doubles,Triples,HR,RBI,SB,BattingAverage,SluggingPct,AllStarAppearances,MVPs,TripleCrowns,GoldGloves,MajorLeaguePlayerOfTheYearAwards,TB,TotalPlayerAwards,LastYearPlayed,ID
FALSE,TRUE,Joe Boley,6,1780,203,478,88,22,7,227,15,.269,.354,0,0,0,0,0,631,0,1932,boleyjo01
FALSE,FALSE,Jim Bolger,7,612,65,140,14,6,6,48,3,.229,.301,0,0,0,0,0,184,0,1959,bolgeji01
FALSE,FALSE,Frank Bolick,2,258,28,52,15,0,5,26,1,.202,.318,0,0,0,0,0,82,0,1998,bolicfr01
FALSE,FALSE,Jack Bolling,2,342,48,107,25,1,4,38,6,.313,.427,0,0,0,0,0,146,0,1944,bollija01
FALSE,FALSE,Cliff Bolton,7,962,113,280,49,18,6,143,3,.291,.398,0,0,0,0,0,383,0,1941,boltocl01
FALSE,FALSE,Skye Bolt,1,10,1,1,1,0,0,0,0,.100,.200,0,0,0,0,0,2,0,2019,boltsk01
TRUE,TRUE,Barry Bonds,22,9847,2227,2935,601,77,762,1996,514,.298,.607,14,7,0,8,3,5976,47,2007,bondsba01
FALSE,TRUE,Bobby Bonilla,16,7213,1084,2010,408,61,287,1173,45,.279,.472,7,0,0,0,0,3401,6,2001,bonilbo01
FALSE,FALSE,Luther Bonin,2,77,6,14,4,1,0,4,3,.182,.260,0,0,0,0,0,20,0,1914,boninlu01
FALSE,FALSE,Barry Bonnell,10,3068,363,833,143,24,56,355,64,.272,.389,0,0,0,0,0,1192,0,1986,bonneba01
FALSE,FALSE,Bobby Bonner,4,108,15,21,5,1,0,8,1,.194,.259,0,0,0,0,0,28,0,1983,bonnebo01
FALSE,FALSE,Everett Booe,2,352,43,77,10,4,0,22,14,.219,.270,0,0,0,0,0,95,0,1914,booeev01
FALSE,FALSE,Buddy Booker,2,33,6,6,1,0,2,5,0,.182,.394,0,0,0,0,0,13,0,1968,bookebu01
